,id,movie_id,name,original_name,gender,popularity,job
0,1136406,315635,Tom Holland,Tom Holland,2,9.6907,Acting
1,2232,315635,Michael Keaton,Michael Keaton,2,3.4747,Acting
2,3223,315635,Robert Downey Jr.,Robert Downey Jr.,2,7.5381,Acting
3,3141,315635,Marisa Tomei,Marisa Tomei,1,5.0658,Acting
4,15277,315635,Jon Favreau,Jon Favreau,2,2.8866,Acting
5,12052,315635,Gwyneth Paltrow,Gwyneth Paltrow,1,3.9525,Acting
6,505710,315635,Zendaya,Zendaya,1,9.4566,Acting
7,119589,315635,Donald Glover,Donald Glover,2,1.9258,Acting
8,1649152,315635,Jacob Batalon,Jacob Batalon,2,1.6759,Acting
9,1606394,315635,Laura Harrier,Laura Harrier,1,1.0986,Acting
10,10850,315635,Kevin Feige,Kevin Feige,2,1.8956,Producer
11,1425616,315635,Amy Pascal,Amy Pascal,1,1.24,Producer
12,71270,315635,Debbie Berman,Debbie Berman,1,0.3531,Editor
13,11455,315635,Dan Lebental,Dan Lebental,2,0.6459,Editor
14,8408,315635,Salvatore Totino,Salvatore Totino,2,0.3789,Director of Photography
15,52935,315635,John Francis Daley,John Francis Daley,2,1.6038,Screenplay
16,1246890,315635,Chris McKenna,Chris McKenna,2,0.6627,Screenplay
17,101814,315635,Christopher Ford,Christopher Ford,2,0.6413,Screenplay
18,1293994,315635,Jon Watts,Jon Watts,2,0.8889,Screenplay
19,1236679,315635,Jonathan Goldstein,Jonathan Goldstein,2,1.454,Screenplay
20,1350918,315635,Erik Sommers,Erik Sommers,2,0.7369,Screenplay
21,15347,315635,Michael Giacchino,Michael Giacchino,2,1.2071,Original Music Composer
22,1293994,315635,Jon Watts,Jon Watts,2,0.8889,Director
23,1687041,374720,Fionn Whitehead,Fionn Whitehead,2,0.66,Acting
24,2524,374720,Tom Hardy,Tom Hardy,2,9.7893,Acting
25,40900,374720,Mark Rylance,Mark Rylance,2,1.3286,Acting
